,author,title,year,Name,Surname
64,Леонов А.Ю.,"Метод оценки эффекта от внедрения информационной системы
планирования контрольных мероприятий",2010,А.Ю.,Леонов
65,М.С. Полякова,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010,М.С.,Полякова
66,В.Г. Трунов,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010,В.Г.,Трунов
67,В.В. Вьюгин,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010,В.В.,Вьюгин
68,И.В.Вьюгин,Проблема Римана-Гильберта в нетривиальных расслоениях над CP^1  ,2010,И.В.Вьюгин,И.В.Вьюгин
69,И.В. Вьюгин,К обобщенной проблеме Римана-Гильберта,2010,И.В.,Вьюгин
70,Р.Р. Гонцов,К обобщенной проблеме Римана-Гильберта,2010,Р.Р.,Гонцов
71,Гайдукова А.П.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010,А.П.,Гайдукова
72,Ставровская Е.Д.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010,Е.Д.,Ставровская
73,Миронов А.А.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010,А.А.,Миронов
74,E.E. Khrameeva,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010,E.E.,Khrameeva
75,A.A. Mironov,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010,A.A.,Mironov
76,M.S. Gelfand,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010,M.S.,Gelfand
77,Е.Н. Гордиенко,Эволюция бактериальных пангеномов   ,2010,Е.Н.,Гордиенко
78,Д. С. Жванский,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010,Д. С. Жванский,Д. С. Жванский
79,В. А. Селионов,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010,В. А. Селионов,В. А. Селионов
80,И. А. Солопова,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010,И. А. Солопова,И. А. Солопова
81,А. А. Гришин,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010,А. А. Гришин,А. А. Гришин
82,Ф.В. Грошев,Об одном механизме увеличения скорости передачи данных в системе DHA FH OFDMA и его влиянии на пропускную способность системы  ,2010,Ф.В.,Грошев
83,Д.С. Осипов,Об одном механизме увеличения скорости передачи данных в системе DHA FH OFDMA и его влиянии на пропускную способность системы  ,2010,Д.С.,Осипов
84,Александр А. Давыдов,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010,Александр А. Давыдов,Александр А. Давыдов
85,Виктор В. Зяблов,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010,Виктор В. Зяблов,Виктор В. Зяблов
86,Рустам Э. Калимуллин,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010,Рустам Э. Калимуллин,Рустам Э. Калимуллин
87,Яков Давыдов,Изучение копийности рибосомального белка L7 ,2010,Яков,Давыдов
88,Александр Тоневицкий,Изучение копийности рибосомального белка L7 ,2010,Александр,Тоневицкий
89,А.И. Даниленко,Система автоматизированного проектирования иерархических меню ,2010,А.И.,Даниленко
90,Диконов Вячеслав,Эксперимент по построению синтаксической структуры английских предложений с использованием заранее известных фрагментарных данных. ,2010,Диконов,Вячеслав
91,Павел Дяченко,Эксперимент по построению синтаксической структуры английских предложений с использованием заранее известных фрагментарных данных. ,2010,Павел,Дяченко
92,Е.Д.Ставровская,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010,Е.Д.Ставровская,Е.Д.Ставровская
93,Д.А.Родионов,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010,Д.А.Родионов,Д.А.Родионов
94,А.А. Миронов,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010,А.А.,Миронов
95,И. Дубчак,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010,И.,Дубчак
96,П.С.Новичков,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010,П.С.Новичков,П.С.Новичков
97,Дурнева Анна,Электрофизиологические ответы клеток крыши среднего мозга и базального оптического ядра на различные зрительные стимулы. ,2010,Дурнева,Анна
98,О.А. Зверков,Позиционная связь генов пластомов растений и водорослeй   ,2010,О.А.,Зверков
99,А.В. Селиверстов,Позиционная связь генов пластомов растений и водорослeй   ,2010,А.В.,Селиверстов
100,В.А. Любецкий,Позиционная связь генов пластомов растений и водорослeй   ,2010,В.А.,Любецкий
101,Кобозева И.Г.,"Декодированиe трехмерных обобщенных кодов с локализацией
ошибок.   ",2010,И.Г.,Кобозева
102,Зяблов В.В.,"Декодированиe трехмерных обобщенных кодов с локализацией
ошибок.   ",2010,В.В.,Зяблов
103,А. А. Фролов,Исследование корректирующих свойств МПП-кодов с кодом-компонентом Рида-Соломона  ,2010,А. А. Фролов,А. А. Фролов
104,В. В. Зяблов,Исследование корректирующих свойств МПП-кодов с кодом-компонентом Рида-Соломона  ,2010,В. В. Зяблов,В. В. Зяблов
105,Зяблов В.В.,Оценивание в графе Таннера числа ребер с заданными свойствами  ,2010,В.В.,Зяблов
106,Рыбин П.С.,Оценивание в графе Таннера числа ребер с заданными свойствами  ,2010,П.С.,Рыбин
107,В.В. Зяблов,Декодирование Q-ных плетеных сверточных МПП-кодов  ,2010,В.В.,Зяблов
108,К.А. Кондрашов,Декодирование Q-ных плетеных сверточных МПП-кодов  ,2010,К.А.,Кондрашов
109,Б. Л. Иомдин,Русская бытовая предметная лексика: онтология и описание ,2010,Б. Л. Иомдин,Б. Л. Иомдин
110,Казенников А.О.,"Эксперименты по созданию гибридной системы синтаксического
анализа на основе системы ЭТАП-3 ",2010,А.О.,Казенников
111,Казнадзей А.Д.,"Изучение эволюции геномных локусов углеводного метаболизма у
бактерий ",2010,А.Д.,Казнадзей
112,Талис В.Л.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010,В.Л.,Талис
113,Капитонов М.А.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010,М.А.,Капитонов
114,Максимова Е.В.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010,Е.В.,Максимова
115,Семен Карпенко,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Семен,Карпенко
116,Валерий Соколов,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Валерий,Соколов
117,Дмитрий Николаев,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Дмитрий,Николаев
118,Карпова М.А.,"Линейные искажения в цифровом спутниковом канале передачи
данных с аддитивном белым гауссовским шумом  ",2010,М.А.,Карпова
119,Шишкин А.Л.,"Линейные искажения в цифровом спутниковом канале передачи
данных с аддитивном белым гауссовским шумом  ",2010,А.Л.,Шишкин
120,Антон Кирьянов,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010,Антон,Кирьянов
121,Александр Сафонов,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010,Александр,Сафонов
122,Евгений Хоров,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010,Евгений,Хоров
123,Klimova Evgeniya,Кислород-зависимая регуляция азотфиксации в Alphaproteobacteria  ,2010,Klimova,Evgeniya
124,Ravcheev Dmitriy,Кислород-зависимая регуляция азотфиксации в Alphaproteobacteria  ,2010,Ravcheev,Dmitriy
125,Алексей Коваленко,Многоадресная рассылка с подтверждениями ,2010,Алексей,Коваленко
126,Анна Цыганова,Многоадресная рассылка с подтверждениями ,2010,Анна,Цыганова
127,С. А. Комеч,Изменение объема границы под действием логарифмически-несжимающей последовательности отображений ,2010,С. А. Комеч,С. А. Комеч
128,И.Б. Кондратенков,"Алгоритм автоматического обнаружения устойчивых изменений, наблюдаемых на неоднородном фоне в последовательности видеокадров  ",2010,И.Б.,Кондратенков
129,Л.И. Рубанов,"Алгоритм автоматического обнаружения устойчивых изменений, наблюдаемых на неоднородном фоне в последовательности видеокадров  ",2010,Л.И.,Рубанов
130,Yuriy Korostelev,Covalent protein-RNA complexes extraction ,2010,Yuriy,Korostelev
131,Jennifer Gerton,Covalent protein-RNA complexes extraction ,2010,Jennifer,Gerton
132,М.В. Костюков,Построение искусственной мозаики колбочек как полигонального разбиения с заданными параметрами ,2010,М.В.,Костюков
133,Александр Сафонов,Анализ эффективности протокола OLSR в канале 5МГц   ,2010,Александр,Сафонов
134,Евгений Хоров,Анализ эффективности протокола OLSR в канале 5МГц   ,2010,Евгений,Хоров
135,Артем Красилов,Анализ эффективности протокола OLSR в канале 5МГц   ,2010,Артем,Красилов
136,Крещук А.А.,"Кодовая конструкция для систем MIMO, основанная на подмножестве строк матрицы Адамара  ",2010,А.А.,Крещук
137,Андрей Кудинов,Некоторые примеры модальных логик без конечной аксиоматики  ,2010,Андрей,Кудинов
138,Илья Шапировский,Некоторые примеры модальных логик без конечной аксиоматики  ,2010,Илья,Шапировский
139,Ербол Курамангалиев,"Изучение эволюции сайтов ацетилирования лизина в белках
позвоночных ",2010,Ербол,Курамангалиев
140,Андрей Куроптев,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010,Андрей,Куроптев
141,Дмитрий Николаев,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010,Дмитрий,Николаев
142,Василий Постников,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010,Василий,Постников
143,Денис Кутузов,Параллельная коммутация в пространственных коммутационных системах ,2010,Денис,Кутузов
144,Анастасия Утешева,Параллельная коммутация в пространственных коммутационных системах ,2010,Анастасия,Утешева
145,Semen Leyn,HexR – new central carbohydrate metabolism transcription regulator. Comparative approach study   ,2010,Semen,Leyn
146,Dmitry Rodionov,HexR – new central carbohydrate metabolism transcription regulator. Comparative approach study   ,2010,Dmitry,Rodionov
147,К.В. Лопатовская,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010,К.В.,Лопатовская
148,А.В. Селиверстов,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010,А.В.,Селиверстов
149,В.А. Любецкий,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010,В.А.,Любецкий
150,Щелкунов М.И.,"Электростатическое поле и длина межгенных областей связаны с
диффузией белковых факторов",2010,М.И.,Щелкунов
151,Любецкий В.А.,"Электростатическое поле и длина межгенных областей связаны с
диффузией белковых факторов",2010,В.А.,Любецкий
152,А.И.Ляхов,Обобщенная модель алгоритма изменения размера конкурентного окна в сетях IEEE 802.11  ,2010,А.И.Ляхов,А.И.Ляхов
153,Ю.И.Мороз,Обобщенная модель алгоритма изменения размера конкурентного окна в сетях IEEE 802.11  ,2010,Ю.И.Мороз,Ю.И.Мороз
154,Малько Д.,"Разработка уточненных методов картирования коротких фрагментов
последовательностей на геномы эукариот. ",2010,Д.,Малько
155,Михайлина Е.,"Разработка уточненных методов картирования коротких фрагментов
последовательностей на геномы эукариот. ",2010,Е.,Михайлина
156,К.В. Степанян,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010,К.В.,Степанян
157,А.Б. Миллер,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010,А.Б.,Миллер
158,Б.М. Миллер,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010,Б.М.,Миллер
159,Д. Митева,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010,Д.,Митева
160,Е. Ставровская,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010,Е.,Ставровская
161,А. Б. Рахманинова,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010,А. Б. Рахманинова,А. Б. Рахманинова
162,А. А. Миронов,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010,А. А. Миронов,А. А. Миронов
163,А.А. Никулова,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010,А.А.,Никулова
164,А.А. Миронов,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010,А.А.,Миронов
165,А.В. Фаворов,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010,А.В.,Фаворов
166,Миронов Андрей Сергеевич,"Сравнение вариантов реализации алгоритма Ниблэка бинаризации
полутоновых изображений ",2010,Миронов Андрей Сергеевич,Миронов Андрей Сергеевич
167,Николаев Дмитрий Петрович,"Сравнение вариантов реализации алгоритма Ниблэка бинаризации
полутоновых изображений ",2010,Николаев Дмитрий Петрович,Николаев Дмитрий Петрович
168,Е. Ю. Морозова,Метод Многомерной Бисекции в Задаче Безусловной Минимизации ,2010,Е. Ю. Морозова,Е. Ю. Морозова
169,Павел Некрасов,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010,Павел,Некрасов
170,Александр Сафонов,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010,Александр,Сафонов
171,Евгений Хоров,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010,Евгений,Хоров
172,Сергей Усилин," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010,Сергей,Усилин
173,Дмитрий Николаев," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010,Дмитрий,Николаев
174,Василий Постников," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010,Василий,Постников
175,Тимур Ханипов,Исследование метода слияния областей в задаче цветовой сегментации ,2010,Тимур,Ханипов
176,Дмитрий Николаев,Исследование метода слияния областей в задаче цветовой сегментации ,2010,Дмитрий,Николаев
177,Семен Карпенко,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Семен,Карпенко
178,Валерий Соколов,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Валерий,Соколов
179,Дмитрий Николае,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010,Дмитрий,Николае
180,Никифоров Юрий,"Построение системы анализа и предсказания активности для службы
технической поддержки   ",2010,Никифоров,Юрий
181,Огнивов В.В.,"Точность вертикальный и горизонтальных произвольных
движений глаз в зависимости от параметров стимулов  ",2010,В.В.,Огнивов
182,Цой О.В.,Эволюция регуляторных взаимодействий в бактериях   ,2010,О.В.,Цой
183,Остерман И.А.,Эволюция регуляторных взаимодействий в бактериях   ,2010,И.А.,Остерман
184,Петроченков В.В.,Использование статистической информации о конкурирующих синтаксических связях в синтаксическом анализаторе ЭТАП-3 для получения наиболее вероятной синтаксической структуры фразы. ,2010,В.В.,Петроченков
185,Сизов В.Г.,Использование статистической информации о конкурирующих синтаксических связях в синтаксическом анализаторе ЭТАП-3 для получения наиболее вероятной синтаксической структуры фразы. ,2010,В.Г.,Сизов
186,Филиппова Вера,"Быстрый алгоритм локализации колес автомобилей на изображениях,
содержащих транспортные средства ",2010,Филиппова,Вера
187,Постников Василий,"Быстрый алгоритм локализации колес автомобилей на изображениях,
содержащих транспортные средства ",2010,Постников,Василий
188,Рассадин Юрий Михайлович,Дискретный алгоритм управления для двигателя постоянного тока ,2010,Рассадин Юрий Михайлович,Рассадин Юрий Михайлович
189,В. Степанова,Разбиение семейства S8 растительных сериновых протеаз на группы специфичности с помощью компьютерных методов,2010,В.,Степанова
190,A. Рахманинова,Разбиение семейства S8 растительных сериновых протеаз на группы специфичности с помощью компьютерных методов,2010,A.,Рахманинова
191,М. В. Стержанов,Выделение связных компонент в штриховых бинарных изображениях ,2010,М. В. Стержанов,М. В. Стержанов
192,И.А Суворова,Белок Prp2 подсемейства FadR – новый вариант регуляции метаболизма пропионата   ,2010,И.А,Суворова
193,Сурпин В.П.,Применение методов сетей массового обслуживания в задаче распределения ресурсов «облачных» систем   ,2010,В.П.,Сурпин
194,Иван Цитович,"Исследование вероятности переполнения буфера при обслуживании трафика сервера, предоставляющего данные различного объема  ",2010,Иван,Цитович
195,Иван Титов,"Исследование вероятности переполнения буфера при обслуживании трафика сервера, предоставляющего данные различного объема  ",2010,Иван,Титов
196,Alexander Favorov,ONION: an XML format to exchange gene-related probabilities ,2010,Alexander,Favorov
197,Dmitris Lvovs,ONION: an XML format to exchange gene-related probabilities ,2010,Dmitris,Lvovs
198,William Speier,ONION: an XML format to exchange gene-related probabilities ,2010,William,Speier
199,Giovanni Parmigiani,ONION: an XML format to exchange gene-related probabilities ,2010,Giovanni,Parmigiani
200,Michael F. Ochs,ONION: an XML format to exchange gene-related probabilities ,2010,Michael F. Ochs,Michael F. Ochs
201,Фролова Татьяна,Лексико-функциональная разметка текстов в СинТагРус  ,2010,Фролова,Татьяна
202,Шеманаева Ольга,Лексико-функциональная разметка текстов в СинТагРус  ,2010,Шеманаева,Ольга
203,Федор Цитович,Субоптимальные статистические решения в задачах последовательной проверки гипотез и ``ошибки'' в наблюдениях  ,2010,Федор,Цитович
204,Шинкарюк А.Г.,"Разработка универсального математического метода обнаружения
скрытой периодичности в аминокислотных последовательностях ",2010,А.Г.,Шинкарюк
205,Айдарханов Р.Д.,Оценка эволюционной близости родственных CRISPR-кассет ,2011,Р.Д.,Айдарханов
206,Артамонова И.И.,Оценка эволюционной близости родственных CRISPR-кассет ,2011,И.И.,Артамонова
207,Акопян А.В.,Комбинаторные обобщения теоремы Юнга ,2011,А.В.,Акопян
208,Лавыш Д.Г.,Биоинформатический анализ новых бактериофагов ,2011,Д.Г.,Лавыш
209,Равчеев Д.А.,Биоинформатический анализ новых бактериофагов ,2011,Д.А.,Равчеев
210,Акуленко Н.,Биоинформатический анализ новых бактериофагов ,2011,Н.,Акуленко
211,Лычков И.И.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011,И.И.,Лычков
212,Алфимцев А.Н.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011,А.Н.,Алфимцев
213,Девятков В.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011,В.,Девятков
214,Андреев М.А.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011,М.А.,Андреев
215,Миллер Б.М.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011,Б.М.,Миллер
216,Миллер А.Б.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011,А.Б.,Миллер
217,Степанян К.В.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011,К.В.,Степанян
218,Гоглева А.А.,CRISPR-системы прокариотического иммунитета в микробиоме человека ,2011,А.А.,Гоглева
219,Артамонова И.И.,CRISPR-системы прокариотического иммунитета в микробиоме человека ,2011,И.И.,Артамонова
220,Давыдов Я.И.,Многокопийный рибосомный белок L12 ,2011,Я.И.,Давыдов
