,author,title,year
50,Александр Дерендяев,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010
51,Валерий Гитис,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010
52,Аркадий Вайншток,Интеграция сетевой ГИС в распределенную информационно-аналитическую среду ,2010
53,Шестаков Л.С.,"Стратегии поиска полового партнера у разных видов саранчовых (Insecta, Orthoptera, Gomphocerinae). ",2010
54,Веденина В.Ю.,"Стратегии поиска полового партнера у разных видов саранчовых (Insecta, Orthoptera, Gomphocerinae). ",2010
55,S. Vinogradova,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010
56,D. Vinogradov,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010
57,A.A. Mironov,Analysis of Codon Usage Bias on a Genome-wide Scale ,2010
58,Светлана Петрова,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010
59,Алексей Витрещак,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010
60,Михаил Гельфанд,"Cравнительно-геномный анализ структур РНК, регулирующих
трансляцию генов рибосомных белков у протеобактерий и фирмикут  ",2010
61,Д.С. Волк,Тонкие аттракторы в косых произведениях ,2010
62,В.А. Клепцын,Тонкие аттракторы в косых произведениях ,2010
63,Волчков Д.В.,"Метод оценки эффекта от внедрения информационной системы
планирования контрольных мероприятий",2010
64,Леонов А.Ю.,"Метод оценки эффекта от внедрения информационной системы
планирования контрольных мероприятий",2010
65,М.С. Полякова,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010
66,В.Г. Трунов,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010
67,В.В. Вьюгин,Об одной реализации алгоритма AdaBoost для решения задач классификации ,2010
68,И.В.Вьюгин,Проблема Римана-Гильберта в нетривиальных расслоениях над CP^1  ,2010
69,И.В. Вьюгин,К обобщенной проблеме Римана-Гильберта,2010
70,Р.Р. Гонцов,К обобщенной проблеме Римана-Гильберта,2010
71,Гайдукова А.П.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010
72,Ставровская Е.Д.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010
73,Миронов А.А.,Инструментальное средство поиска регуляторных мотивов в геномах ,2010
74,E.E. Khrameeva,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010
75,A.A. Mironov,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010
76,M.S. Gelfand,"Functional Similarity and Chimeric Transcripts in Spatially Close
Genome Domains ",2010
77,Е.Н. Гордиенко,Эволюция бактериальных пангеномов   ,2010
78,Д. С. Жванский,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010
79,В. А. Селионов,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010
80,И. А. Солопова,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010
81,А. А. Гришин,Исследование взаимовлияния циклической активности верхних и нижних конечностей на общий паттерн мышечной активности.  ,2010
82,Ф.В. Грошев,Об одном механизме увеличения скорости передачи данных в системе DHA FH OFDMA и его влиянии на пропускную способность системы  ,2010
83,Д.С. Осипов,Об одном механизме увеличения скорости передачи данных в системе DHA FH OFDMA и его влиянии на пропускную способность системы  ,2010
84,Александр А. Давыдов,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010
85,Виктор В. Зяблов,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010
86,Рустам Э. Калимуллин,Подкоды кода Рида-Соломона со словами без совпадающих символов ,2010
87,Яков Давыдов,Изучение копийности рибосомального белка L7 ,2010
88,Александр Тоневицкий,Изучение копийности рибосомального белка L7 ,2010
89,А.И. Даниленко,Система автоматизированного проектирования иерархических меню ,2010
90,Диконов Вячеслав,Эксперимент по построению синтаксической структуры английских предложений с использованием заранее известных фрагментарных данных. ,2010
91,Павел Дяченко,Эксперимент по построению синтаксической структуры английских предложений с использованием заранее известных фрагментарных данных. ,2010
92,Е.Д.Ставровская,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010
93,Д.А.Родионов,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010
94,А.А. Миронов,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010
95,И. Дубчак,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010
96,П.С.Новичков,"Вероятностный подход для выявления состава регулона. Различные
способы определения меры принадлежности гена к регулону. ",2010
97,Дурнева Анна,Электрофизиологические ответы клеток крыши среднего мозга и базального оптического ядра на различные зрительные стимулы. ,2010
98,О.А. Зверков,Позиционная связь генов пластомов растений и водорослeй   ,2010
99,А.В. Селиверстов,Позиционная связь генов пластомов растений и водорослeй   ,2010
100,В.А. Любецкий,Позиционная связь генов пластомов растений и водорослeй   ,2010
101,Кобозева И.Г.,"Декодированиe трехмерных обобщенных кодов с локализацией
ошибок.   ",2010
102,Зяблов В.В.,"Декодированиe трехмерных обобщенных кодов с локализацией
ошибок.   ",2010
103,А. А. Фролов,Исследование корректирующих свойств МПП-кодов с кодом-компонентом Рида-Соломона  ,2010
104,В. В. Зяблов,Исследование корректирующих свойств МПП-кодов с кодом-компонентом Рида-Соломона  ,2010
105,Зяблов В.В.,Оценивание в графе Таннера числа ребер с заданными свойствами  ,2010
106,Рыбин П.С.,Оценивание в графе Таннера числа ребер с заданными свойствами  ,2010
107,В.В. Зяблов,Декодирование Q-ных плетеных сверточных МПП-кодов  ,2010
108,К.А. Кондрашов,Декодирование Q-ных плетеных сверточных МПП-кодов  ,2010
109,Б. Л. Иомдин,Русская бытовая предметная лексика: онтология и описание ,2010
110,Казенников А.О.,"Эксперименты по созданию гибридной системы синтаксического
анализа на основе системы ЭТАП-3 ",2010
111,Казнадзей А.Д.,"Изучение эволюции геномных локусов углеводного метаболизма у
бактерий ",2010
112,Талис В.Л.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010
113,Капитонов М.А.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010
114,Максимова Е.В.,Мышечные пост-эффекты и поддержание равновесия у детей с нарушениями сенсо-моторной интеграции  ,2010
115,Семен Карпенко,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
116,Валерий Соколов,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
117,Дмитрий Николаев,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
118,Карпова М.А.,"Линейные искажения в цифровом спутниковом канале передачи
данных с аддитивном белым гауссовским шумом  ",2010
119,Шишкин А.Л.,"Линейные искажения в цифровом спутниковом канале передачи
данных с аддитивном белым гауссовским шумом  ",2010
120,Антон Кирьянов,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010
121,Александр Сафонов,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010
122,Евгений Хоров,Методы исследования переходных характеристик протокола OLSR при включении/выключении узла сети,2010
123,Klimova Evgeniya,Кислород-зависимая регуляция азотфиксации в Alphaproteobacteria  ,2010
124,Ravcheev Dmitriy,Кислород-зависимая регуляция азотфиксации в Alphaproteobacteria  ,2010
125,Алексей Коваленко,Многоадресная рассылка с подтверждениями ,2010
126,Анна Цыганова,Многоадресная рассылка с подтверждениями ,2010
127,С. А. Комеч,Изменение объема границы под действием логарифмически-несжимающей последовательности отображений ,2010
128,И.Б. Кондратенков,"Алгоритм автоматического обнаружения устойчивых изменений, наблюдаемых на неоднородном фоне в последовательности видеокадров  ",2010
129,Л.И. Рубанов,"Алгоритм автоматического обнаружения устойчивых изменений, наблюдаемых на неоднородном фоне в последовательности видеокадров  ",2010
130,Yuriy Korostelev,Covalent protein-RNA complexes extraction ,2010
131,Jennifer Gerton,Covalent protein-RNA complexes extraction ,2010
132,М.В. Костюков,Построение искусственной мозаики колбочек как полигонального разбиения с заданными параметрами ,2010
133,Александр Сафонов,Анализ эффективности протокола OLSR в канале 5МГц   ,2010
134,Евгений Хоров,Анализ эффективности протокола OLSR в канале 5МГц   ,2010
135,Артем Красилов,Анализ эффективности протокола OLSR в канале 5МГц   ,2010
136,Крещук А.А.,"Кодовая конструкция для систем MIMO, основанная на подмножестве строк матрицы Адамара  ",2010
137,Андрей Кудинов,Некоторые примеры модальных логик без конечной аксиоматики  ,2010
138,Илья Шапировский,Некоторые примеры модальных логик без конечной аксиоматики  ,2010
139,Ербол Курамангалиев,"Изучение эволюции сайтов ацетилирования лизина в белках
позвоночных ",2010
140,Андрей Куроптев,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010
141,Дмитрий Николаев,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010
142,Василий Постников,Точная локализация опорных решеток полей заполнения в анкетах методами динамического программирования и морфологической фильтрации ,2010
143,Денис Кутузов,Параллельная коммутация в пространственных коммутационных системах ,2010
144,Анастасия Утешева,Параллельная коммутация в пространственных коммутационных системах ,2010
145,Semen Leyn,HexR – new central carbohydrate metabolism transcription regulator. Comparative approach study   ,2010
146,Dmitry Rodionov,HexR – new central carbohydrate metabolism transcription regulator. Comparative approach study   ,2010
147,К.В. Лопатовская,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010
148,А.В. Селиверстов,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010
149,В.А. Любецкий,Регулоны факторов NtcA и NtcB у цианобактерий и багрянок   ,2010
150,Щелкунов М.И.,"Электростатическое поле и длина межгенных областей связаны с
диффузией белковых факторов",2010
151,Любецкий В.А.,"Электростатическое поле и длина межгенных областей связаны с
диффузией белковых факторов",2010
152,А.И.Ляхов,Обобщенная модель алгоритма изменения размера конкурентного окна в сетях IEEE 802.11  ,2010
153,Ю.И.Мороз,Обобщенная модель алгоритма изменения размера конкурентного окна в сетях IEEE 802.11  ,2010
154,Малько Д.,"Разработка уточненных методов картирования коротких фрагментов
последовательностей на геномы эукариот. ",2010
155,Михайлина Е.,"Разработка уточненных методов картирования коротких фрагментов
последовательностей на геномы эукариот. ",2010
156,К.В. Степанян,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010
157,А.Б. Миллер,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010
158,Б.М. Миллер,Планирование траектории БПЛА в сложных условиях при наличии угроз   ,2010
159,Д. Митева,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010
160,Е. Ставровская,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010
161,А. Б. Рахманинова,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010
162,А. А. Миронов,Поиск сигналов инициации трансляции у Cyanobacteria.   ,2010
163,А.А. Никулова,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010
164,А.А. Миронов,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010
165,А.В. Фаворов,"Предсказание и анализ консервативных транскрипционных
регуляторных областей в геномах рода Drosophila ",2010
166,Миронов Андрей Сергеевич,"Сравнение вариантов реализации алгоритма Ниблэка бинаризации
полутоновых изображений ",2010
167,Николаев Дмитрий Петрович,"Сравнение вариантов реализации алгоритма Ниблэка бинаризации
полутоновых изображений ",2010
168,Е. Ю. Морозова,Метод Многомерной Бисекции в Задаче Безусловной Минимизации ,2010
169,Павел Некрасов,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010
170,Александр Сафонов,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010
171,Евгений Хоров,Анализ эффективности методов оптимизации рассылки сетевой информации в сетях MANET ,2010
172,Сергей Усилин," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010
173,Дмитрий Николаев," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010
174,Василий Постников," 
Идентификация изображений документов методами,
предназначенными для поиска лиц ",2010
175,Тимур Ханипов,Исследование метода слияния областей в задаче цветовой сегментации ,2010
176,Дмитрий Николаев,Исследование метода слияния областей в задаче цветовой сегментации ,2010
177,Семен Карпенко,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
178,Валерий Соколов,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
179,Дмитрий Николае,Сдвиговое и полусдвиговое преобразование Хаффа: генерация быстрых вычислительных схем ,2010
180,Никифоров Юрий,"Построение системы анализа и предсказания активности для службы
технической поддержки   ",2010
181,Огнивов В.В.,"Точность вертикальный и горизонтальных произвольных
движений глаз в зависимости от параметров стимулов  ",2010
182,Цой О.В.,Эволюция регуляторных взаимодействий в бактериях   ,2010
183,Остерман И.А.,Эволюция регуляторных взаимодействий в бактериях   ,2010
184,Петроченков В.В.,Использование статистической информации о конкурирующих синтаксических связях в синтаксическом анализаторе ЭТАП-3 для получения наиболее вероятной синтаксической структуры фразы. ,2010
185,Сизов В.Г.,Использование статистической информации о конкурирующих синтаксических связях в синтаксическом анализаторе ЭТАП-3 для получения наиболее вероятной синтаксической структуры фразы. ,2010
186,Филиппова Вера,"Быстрый алгоритм локализации колес автомобилей на изображениях,
содержащих транспортные средства ",2010
187,Постников Василий,"Быстрый алгоритм локализации колес автомобилей на изображениях,
содержащих транспортные средства ",2010
188,Рассадин Юрий Михайлович,Дискретный алгоритм управления для двигателя постоянного тока ,2010
189,В. Степанова,Разбиение семейства S8 растительных сериновых протеаз на группы специфичности с помощью компьютерных методов,2010
190,A. Рахманинова,Разбиение семейства S8 растительных сериновых протеаз на группы специфичности с помощью компьютерных методов,2010
191,М. В. Стержанов,Выделение связных компонент в штриховых бинарных изображениях ,2010
192,И.А Суворова,Белок Prp2 подсемейства FadR – новый вариант регуляции метаболизма пропионата   ,2010
193,Сурпин В.П.,Применение методов сетей массового обслуживания в задаче распределения ресурсов «облачных» систем   ,2010
194,Иван Цитович,"Исследование вероятности переполнения буфера при обслуживании трафика сервера, предоставляющего данные различного объема  ",2010
195,Иван Титов,"Исследование вероятности переполнения буфера при обслуживании трафика сервера, предоставляющего данные различного объема  ",2010
196,Alexander Favorov,ONION: an XML format to exchange gene-related probabilities ,2010
197,Dmitris Lvovs,ONION: an XML format to exchange gene-related probabilities ,2010
198,William Speier,ONION: an XML format to exchange gene-related probabilities ,2010
199,Giovanni Parmigiani,ONION: an XML format to exchange gene-related probabilities ,2010
200,Michael F. Ochs,ONION: an XML format to exchange gene-related probabilities ,2010
201,Фролова Татьяна,Лексико-функциональная разметка текстов в СинТагРус  ,2010
202,Шеманаева Ольга,Лексико-функциональная разметка текстов в СинТагРус  ,2010
203,Федор Цитович,Субоптимальные статистические решения в задачах последовательной проверки гипотез и ``ошибки'' в наблюдениях  ,2010
204,Шинкарюк А.Г.,"Разработка универсального математического метода обнаружения
скрытой периодичности в аминокислотных последовательностях ",2010
205,Айдарханов Р.Д.,Оценка эволюционной близости родственных CRISPR-кассет ,2011
206,Артамонова И.И.,Оценка эволюционной близости родственных CRISPR-кассет ,2011
207,Акопян А.В.,Комбинаторные обобщения теоремы Юнга ,2011
208,Лавыш Д.Г.,Биоинформатический анализ новых бактериофагов ,2011
209,Равчеев Д.А.,Биоинформатический анализ новых бактериофагов ,2011
210,Акуленко Н.,Биоинформатический анализ новых бактериофагов ,2011
211,Лычков И.И.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011
212,Алфимцев А.Н.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011
213,Девятков В.,Отслеживание движущихся объектов для мониторинга транспортного потока ,2011
214,Андреев М.А.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011
215,Миллер Б.М.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011
216,Миллер А.Б.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011
217,Степанян К.В.,Расчет допустимых линейных и угловых ускорений при планировании траекторий БПЛА ,2011
218,Гоглева А.А.,CRISPR-системы прокариотического иммунитета в микробиоме человека ,2011
219,Артамонова И.И.,CRISPR-системы прокариотического иммунитета в микробиоме человека ,2011
220,Давыдов Я.И.,Многокопийный рибосомный белок L12 ,2011
221,Артамонова И.И.,Многокопийный рибосомный белок L12 ,2011
222,Тоневицкий А.,Многокопийный рибосомный белок L12 ,2011
223,Шустрова Е.Н.,Сравнение скорости эволюции старых и новых копий недавно дуплицированных генов человека ,2011
224,Гордиенко Е.Н.,Сравнение скорости эволюции старых и новых копий недавно дуплицированных генов человека ,2011
225,Артамонова И.И.,Сравнение скорости эволюции старых и новых копий недавно дуплицированных генов человека ,2011
226,Панчин А.Ю.,Эволюция сайтов сплайсинга в семействах недавно дуплицированных генов человека ,2011
227,Артамонова И.И.,Эволюция сайтов сплайсинга в семействах недавно дуплицированных генов человека ,2011
228,Артемов А.В.,Кинетическая модель может объяснить связь метилирования ДНК с тканеспецифическим альтернативным сплайсингом и альтернативным полиаденилированием ,2011
229,Первушин Д.,Кинетическая модель может объяснить связь метилирования ДНК с тканеспецифическим альтернативным сплайсингом и альтернативным полиаденилированием ,2011
230,Токарчук А.,Кинетическая модель может объяснить связь метилирования ДНК с тканеспецифическим альтернативным сплайсингом и альтернативным полиаденилированием ,2011
231,Фаворов А.В.,Кинетическая модель может объяснить связь метилирования ДНК с тканеспецифическим альтернативным сплайсингом и альтернативным полиаденилированием ,2011
232,Миронов А.А.,Кинетическая модель может объяснить связь метилирования ДНК с тканеспецифическим альтернативным сплайсингом и альтернативным полиаденилированием ,2011
233,Ахмадуллина А.И.,Исследование эффекта доминантности методом сравнения частот нонсенс мутаций в аутосомах и Х-хромосоме Drosophila melanogaster ,2011
234,Сеплярский В.Б.,Не протяженная гетерогенность мутационного процесса и отклонения в мутагенезе мушек рода Drosophila ,2011
235,Кондрашов А.,Не протяженная гетерогенность мутационного процесса и отклонения в мутагенезе мушек рода Drosophila ,2011
236,Базыкин Г.А.,Не протяженная гетерогенность мутационного процесса и отклонения в мутагенезе мушек рода Drosophila ,2011
237,Тереханова Н.В.,Разность скоростей образования двойных замен в близлежащих нуклеотидных позициях некодирующих последовательностей ,2011
238,Кондрашов А.,Разность скоростей образования двойных замен в близлежащих нуклеотидных позициях некодирующих последовательностей ,2011
239,Базыкин Г.А.,Разность скоростей образования двойных замен в близлежащих нуклеотидных позициях некодирующих последовательностей ,2011
240,Леушкин Е.В.,Отбор на длину интронов в генах Drosophila melanogaster ,2011
241,Базыкин Г.А.,Отбор на длину интронов в генах Drosophila melanogaster ,2011
242,Кондрашов А.,Отбор на длину интронов в генах Drosophila melanogaster ,2011
243,Вахрушева О.А.,Сохранение функции без сохранения сходства последовательностей ,2011
244,Базыкин Г.А.,Сохранение функции без сохранения сходства последовательностей ,2011
245,Кондрашов А.,Сохранение функции без сохранения сходства последовательностей ,2011
246,Баранова М.А.,Анализ двунуклеотидных замен в популяции D.melanogaster ,2011
247,Базыкин Г.А.,Анализ двунуклеотидных замен в популяции D.melanogaster ,2011
248,Кондрашов А.,Анализ двунуклеотидных замен в популяции D.melanogaster ,2011
249,Беляев М.Г.,"Особенности оптимизационной задачи, возникающей при построении аппроксимации многомерной зависимости ",2011
250,Любин А.Д.,"Особенности оптимизационной задачи, возникающей при построении аппроксимации многомерной зависимости ",2011
251,Беляев М.Г.,Сравнение эффективности методов инициализации нелинейной регрессионной модели ,2011
